species	channel	n	levels	interior	bracket	nstar	delta	spread	Zeff	limit	limprov	lit
Ar II *	ni 2[7] J=15/2	7–8	2	1	untested	7.0–8.0	+0.0023	0.0002	2	222,848.300	published	unverified
Ar II *	ni 2[8] J=15/2	7–8	2	1	untested	7.0–8.0	-0.0000	0.0006	2	222,848.300	published	unverified
Ar II *	ni 2[8] J=17/2	7–8	2	1	untested	7.0–8.0	-0.0000	0.0006	2	222,848.300	published	unverified
Bi II *	6s2.6p.nf (1/2,7/2) J=3	5–6	2	1	untested	3.9–4.9	+1.1419	0.0039	2	134,720.000	published	unverified
Bi II *	6s2.6p.np (1/2,1/2) J=0	7–8	2	1	untested	3.0–4.1	+3.9567	0.0079	2	134,720.000	published	unverified
Bi III *	6s2.nh 2H* J=11/2	6–7	2	1	untested	6.0–7.0	+0.0103	0.0005	3	206,242.000	published	unverified
Bi III *	6s2.nh 2H* J=9/2	6–7	2	1	untested	6.0–7.0	+0.0103	0.0005	3	206,242.000	published	unverified
C II *	2s2(1S)nd 2D J=3/2	3–4	2	1	untested	2.9–3.9	+0.0740	0.0044	2	196,664.700	published	unverified
C II *	2s2(1S)nd 2D J=5/2	3–4	2	1	untested	2.9–3.9	+0.0740	0.0044	2	196,664.700	published	unverified
C II *	2s2(1S)ns 2S J=1/2	3–4	2	1	untested	2.3–3.3	+0.6615	0.0020	2	196,664.700	published	unverified
Li I *	nd 2D J=3/2	3–4	2	1	untested	3.0–4.0	+0.0016	0.0001	1	43,487.150	published	verified
Li I *	nd 2D J=5/2	3–4	2	1	untested	3.0–4.0	+0.0016	0.0001	1	43,487.150	published	verified
Li I *	ns 2S J=1/2	2–3	2	1	untested	1.6–2.6	+0.4077	0.0038	1	43,487.150	published	unverified
Li II *	1s.ni 1I J=6	7–8	2	1	untested	7.0–8.0	-0.0001	0.0000	2	610,078.400	published	unverified
Li II *	1s.np 3P* J=0	2–3	2	1	untested	1.9–2.9	+0.0537	0.0004	2	610,078.400	published	unverified
Li II *	1s.np 3P* J=2	2–3	2	1	untested	1.9–2.9	+0.0537	0.0004	2	610,078.400	published	unverified
Li III *	nk 2K* J=13/2	8–9	2	1	untested	8.0–9.0	+0.0004	0.0001	3	987,662.290	derived	unverified
Li III *	nk 2K* J=15/2	8–9	2	1	untested	8.0–9.0	+0.0004	0.0001	3	987,662.290	derived	unverified
Mg I *	3snf 1F° J=3	4–5	2	1	untested	4.0–5.0	+0.0413	0.0022	1	61,671.050	published	unverified
Mg I *	3snf 3F° J=2	4–5	2	1	untested	4.0–5.0	+0.0413	0.0022	1	61,671.050	published	unverified
Mg I *	3snf 3F° J=3	4–5	2	1	untested	4.0–5.0	+0.0413	0.0022	1	61,671.050	published	unverified
