Z	charge	l	mult	term	parent	language	n_lo	n_hi	members_stored	members_found	count_match	delta_stored	delta_median	delta_mean	delta_asym	spread	bracketed	asym_bracketed	delta_status	refusal
72	1	1	3	v 3D*	b_2D	LS	6	6	3	3	yes	3.43831	3.43831	3.44834	3.53763	0.16855	0	no	usable	
72	1	1	3	x 3P*	b_2D	LS	6	6	3	3	yes	3.45151	3.45151	3.42492	3.47443	0.12560	0	no	usable	
72	1	0	5	b 5F	a_4F	LS	7	7	5	5	yes	4.21673	4.21673	4.15873	4.36139	0.53204	0	no	void — limit is not this parent's core	
72	1	0	3	d 3D	a_2D	LS	7	7	3	3	yes	4.25224	4.25224	4.22822	4.33934	0.24627	0	no	usable	
72	1	1	3	u 3D*	a_2P	LS	6	6	3	3	yes	3.27522	3.27522	3.27627	3.32567	0.09775	0	no	void — limit is not this parent's core	
72	1	0	5	c 5F	4F	LS	6	6	4	4	yes	3.19853	3.19853	3.18439	3.31812	0.29573	0	no	void — limit is not this parent's core	
72	1	2	5	a 5D		LS	5	5	5	0	no									outer_occupancy_gt_1
72	1	1	3	v 3F*	b_2D	LS	6	6	3	3	yes	2.96879	2.96879	2.96392	3.28192	0.64084	0	no	usable	
72	1	1	5	y 5G*	b_4F	LS	6	6	4	4	yes	3.08004	3.08004	3.03454	3.20928	0.44051	0	no	void — limit is not this parent's core	
72	1	1	3	w 3P*	a_2P	LS	6	6	3	3	yes	3.18558	3.18558	3.15624	3.19166	0.10018	0	no	void — limit is not this parent's core	
72	1	1	3	u 3F*	b_2G	LS	6	6	3	3	yes	3.11924	3.11924	3.12416	3.18746	0.12168	0	no	void — limit is not this parent's core	
72	1	0	3	d 3F	a_4F	LS	7	7	3	3	yes	3.91877	3.91877	3.94164	4.17491	0.44368	0	no	void — limit is not this parent's core	
72	1	0	3	e 3D	4D	LS	6	6	3	3	yes	3.05898	3.05898	3.05431	3.08745	0.07094	0	no	void — limit is not this parent's core	
72	1	0	5	b 5D	4D	LS	6	6	4	4	yes	2.98014	2.98014	2.96008	3.00886	0.13770	0	no	void — limit is not this parent's core	
72	1	1	5	y 5F*	b_4F	LS	6	6	5	5	yes	2.67663	2.67663	2.60189	2.87836	0.65815	0	no	void — limit is not this parent's core	
72	1	0	3	e 3P	a_4P	LS	7	7	3	3	yes	3.64991	3.64991	3.64115	3.70507	0.13658	0	no	void — limit is not this parent's core	
72	1	0	5	b 5P	4P	LS	6	6	3	3	yes	2.63356	2.63356	2.59464	2.65251	0.15466	0	no	void — limit is not this parent's core	
72	1	0	3	e 3F	4F	LS	6	6	3	3	yes	2.57993	2.57993	2.57599	2.62961	0.11117	0	no	void — limit is not this parent's core	
72	1	1	5	x 5D*	b_4F	LS	6	6	5	5	yes	2.48419	2.48419	2.39502	2.60387	0.56326	0	no	void — limit is not this parent's core	
72	1	0	3	f 3F	2F	LS	6	6	3	3	yes	2.50654	2.50654	2.51709	2.58299	0.12123	0	no	void — limit is not this parent's core	
72	1	0	3	g 3F	2F	LS	6	6	3	3	yes	2.37907	2.37907	2.38577	2.46217	0.14611	0	no	void — limit is not this parent's core	
72	1	1	3	w 3G*	b_4F	LS	6	6	3	3	yes	1.98626	1.98626	1.98006	2.35772	0.76153	0	no	void — limit is not this parent's core	
72	1	0	5	c 5P	a_4P	LS	7	7	3	3	yes	3.32153	3.32153	3.24388	3.33891	0.26770	0	no	void — limit is not this parent's core	
72	1	0	3	b 3G	2G	LS	6	6	3	3	yes	2.22536	2.22536	2.21726	2.30911	0.19181	0	no	void — limit is not this parent's core	
72	1	0	3	f 3D	2D	LS	6	6	3	3	yes	2.23534	2.23534	2.20181	2.28131	0.19254	0	no	usable	
72	1	0	3	g 3P	2P	LS	6	6	3	3	yes	2.12194	2.12194	2.14895	2.23430	0.14367	0	no	void — limit is not this parent's core	
72	1	1	5	y 5P*	b_4P	LS	6	6	3	3	yes	1.85929	1.85929	1.90154	2.08818	0.33103	0	no	void — limit is not this parent's core	
72	1	0	3	g 3D	2D	LS	6	6	3	3	yes	2.06657	2.06657	2.03786	2.08264	0.11827	0	no	usable	
72	1	2	3	b 3H		LS	5	5	3	0	no									outer_occupancy_gt_1
72	1	2	3	h 3F		LS	5	5	3	0	no									outer_occupancy_gt_1
72	1	1	5	w 5D*	b_4P	LS	6	6	5	5	yes	1.15936	1.15936	1.15939	1.97947	1.94916	0	no	void — limit is not this parent's core	
72	1	2	3	c 3G		LS	5	5	3	0	no									outer_occupancy_gt_1
72	1	0	3	i 3F	a_2F	LS	7	7	3	3	yes	2.82689	2.82689	2.82809	2.91894	0.18050	0	no	void — limit is not this parent's core	
72	1	2	3	h 3D		LS	5	5	3	0	no									outer_occupancy_gt_1
72	1	1	3	s 3D*	b_4F	LS	6	6	3	3	yes	0.86920	0.86920	0.92556	1.66659	1.42570	0	no	void — limit is not this parent's core	
