# AME2020 Table I — the 2020 atomic mass table.
# Meng Wang, W.J. Huang, F.G. Kondev, G. Audi, S. Naimi,
# Chinese Physics C 45, 030003 (2021), Table I, pages 030003-6 to 030003-75.
# Extracted from the PDF supplied by M, pdftotext -layout, PDF pages 7-76.
#
# THIS IS THE PUBLISHED ROUNDED TABLE, not mass_1.mas20. AME rounds to a
# precision set by the uncertainty, so values differ from the ASCII file by
# up to ~0.1 sigma. Verified against the Argonne mass_1.mas20 text on the
# A = 9 chain: max deviation 4.174 keV on 9He, which is 0.089 sigma.
#
# A is RECOMPUTED as N + Z; the printed A is used only as a check and
# matched on every row where it appears (0 mismatches).
# quality: M = measured, E = estimated (# in the source).
# Z	N	A	symbol	mass_excess_keV	unc_keV	quality
20	23	43	Ca	-38408.87	0.23	M
20	24	44	Ca	-41468.7	0.3	M
20	25	45	Ca	-40812.2	0.4	M
20	26	46	Ca	-43139.6	2.2	M
20	27	47	Ca	-42344.7	2.2	M
20	28	48	Ca	-44224.868	0.018	M
20	29	49	Ca	-41300.0	0.18	M
20	30	50	Ca	-39589.2	1.6	M
20	31	51	Ca	-36332.3	0.5	M
20	32	52	Ca	-34266.3	0.7	M
20	33	53	Ca	-29390.0	40.0	M
20	34	54	Ca	-25160.0	50.0	M
20	35	55	Ca	-18650.0	160.0	M
20	36	56	Ca	-13510.0	250.0	M
20	37	57	Ca	-6560.0	400.0	E
20	38	58	Ca	-1530.0	500.0	E
20	39	59	Ca	5810.0	600.0	E
20	40	60	Ca	11000.0	700.0	E
20	41	61	Ca	19010.0	800.0	E
21	14	35	Sc	27100.0	400.0	E
21	15	36	Sc	16150.0	300.0	E
21	16	37	Sc	3780.0	300.0	E
21	17	38	Sc	-4250.0	200.0	E
21	18	39	Sc	-14173.0	24.0	M
21	19	40	Sc	-20523.4	2.8	M
21	20	41	Sc	-28642.36	0.08	M
21	21	42	Sc	-32121.0	0.15	M
21	22	43	Sc	-36188.1	1.9	M
21	23	44	Sc	-37816.0	1.8	M
21	24	45	Sc	-41072.3	0.7	M
21	25	46	Sc	-41761.6	0.7	M
21	26	47	Sc	-44336.8	1.9	M
21	27	48	Sc	-44504.0	5.0	M
21	28	49	Sc	-46562.4	2.3	M
21	29	50	Sc	-44537.1	2.5	M
21	30	51	Sc	-43250.4	2.5	M
21	31	52	Sc	-40524.0	3.0	M
21	32	53	Sc	-38770.0	18.0	M
21	33	54	Sc	-34438.0	14.0	M
21	34	55	Sc	-30840.0	60.0	M
21	35	56	Sc	-25520.0	260.0	M
21	36	57	Sc	-21380.0	180.0	M
21	37	58	Sc	-15480.0	190.0	M
21	38	59	Sc	-10830.0	250.0	M
21	39	60	Sc	-4550.0	500.0	E
21	40	61	Sc	500.0	600.0	E
21	41	62	Sc	7310.0	600.0	E
21	42	63	Sc	13070.0	700.0	E
22	15	37	Ti	25170.0	400.0	E
22	16	38	Ti	11370.0	300.0	E
22	17	39	Ti	2500.0	200.0	E
22	18	40	Ti	-8990.0	70.0	M
22	19	41	Ti	-15698.0	28.0	M
22	20	42	Ti	-25104.35	0.27	M
22	21	43	Ti	-29316.0	6.0	M
22	22	44	Ti	-37548.6	0.7	M
22	23	45	Ti	-39010.3	0.8	M
22	24	46	Ti	-44128.27	0.09	M
22	25	47	Ti	-44937.61	0.08	M
22	26	48	Ti	-48492.95	0.07	M
22	27	49	Ti	-48564.01	0.08	M
22	28	50	Ti	-51431.87	0.08	M
22	29	51	Ti	-49733.0	0.5	M
22	30	52	Ti	-49477.7	2.7	M
22	31	53	Ti	-46881.4	2.9	M
22	32	54	Ti	-45744.0	16.0	M
22	33	55	Ti	-41832.0	29.0	M
22	34	56	Ti	-39420.0	100.0	M
22	35	57	Ti	-34400.0	210.0	M
22	36	58	Ti	-30920.0	180.0	M
22	37	59	Ti	-25880.0	300.0	E
22	38	60	Ti	-22100.0	240.0	M
22	39	61	Ti	-16370.0	300.0	E
22	40	62	Ti	-12200.0	400.0	E
22	41	63	Ti	-5860.0	500.0	E
22	42	64	Ti	-1480.0	600.0	E
22	43	65	Ti	5210.0	700.0	E
23	16	39	V	22570.0	400.0	E
23	17	40	V	12470.0	300.0	E
23	18	41	V	310.0	200.0	E
23	19	42	V	-7620.0	200.0	E
23	20	43	V	-17920.0	40.0	M
23	21	44	V	-23808.0	7.0	M
23	22	45	V	-31886.4	0.9	M
23	23	46	V	-37075.9	0.13	M
23	24	47	V	-42007.07	0.11	M
23	25	48	V	-44478.0	1.0	M
23	26	49	V	-47962.2	0.8	M
23	27	50	V	-49223.24	0.09	M
23	28	51	V	-52203.11	0.1	M
23	29	52	V	-51443.03	0.16	M
23	30	53	V	-51852.0	3.0	M
23	31	54	V	-49898.0	11.0	M
23	32	55	V	-49125.0	27.0	M
23	33	56	V	-46180.0	180.0	M
23	34	57	V	-44440.0	80.0	M
23	35	58	V	-40430.0	100.0	M
23	36	59	V	-37610.0	140.0	M
23	37	60	V	-33090.0	180.0	M
23	38	61	V	-30180.0	230.0	M
23	39	62	V	-25210.0	260.0	M
23	40	63	V	-21740.0	340.0	M
23	41	64	V	-16320.0	400.0	E
23	42	65	V	-12110.0	500.0	E
23	43	66	V	-6300.0	500.0	E
23	44	67	V	-1740.0	600.0	E
24	17	41	Cr	20410.0	400.0	E
24	18	42	Cr	7060.0	300.0	E
24	19	43	Cr	-1970.0	200.0	E
24	20	44	Cr	-13420.0	50.0	M
24	21	45	Cr	-19510.0	40.0	M
24	22	46	Cr	-29472.0	11.0	M
24	23	47	Cr	-34563.0	5.0	M
24	24	48	Cr	-42821.0	7.0	M
24	25	49	Cr	-45332.4	2.2	M
24	26	50	Cr	-50261.36	0.09	M
24	27	51	Cr	-51450.71	0.17	M
24	28	52	Cr	-55419.51	0.11	M
24	29	53	Cr	-55287.62	0.12	M
24	30	54	Cr	-56935.38	0.13	M
24	31	55	Cr	-55110.32	0.23	M
24	32	56	Cr	-55285.1	0.6	M
24	33	57	Cr	-52525.0	1.9	M
24	34	58	Cr	-51991.8	3.0	M
24	35	59	Cr	-48115.9	0.7	M
24	36	60	Cr	-46908.5	1.1	M
24	37	61	Cr	-42496.5	1.9	M
24	38	62	Cr	-40853.0	3.0	M
24	39	63	Cr	-36180.0	70.0	M
24	40	64	Cr	-33640.0	300.0	M
24	41	65	Cr	-28310.0	200.0	E
24	42	66	Cr	-25140.0	300.0	E
24	43	67	Cr	-19270.0	400.0	E
24	44	68	Cr	-15690.0	500.0	E
24	45	69	Cr	-9630.0	500.0	E
24	46	70	Cr	-5640.0	600.0	E
25	18	43	Mn	17370.0	400.0	E
25	19	44	Mn	7460.0	300.0	E
25	20	45	Mn	-4980.0	300.0	E
25	21	46	Mn	-12420.0	90.0	M
25	22	47	Mn	-22570.0	30.0	M
25	23	48	Mn	-29297.0	7.0	M
25	24	49	Mn	-37619.9	2.2	M
25	25	50	Mn	-42626.89	0.12	M
25	26	51	Mn	-48243.2	0.3	M
25	27	52	Mn	-50711.39	0.13	M
25	28	53	Mn	-54690.3	0.3	M
25	29	54	Mn	-55558.2	1.0	M
25	30	55	Mn	-57712.54	0.26	M
25	31	56	Mn	-56911.67	0.29	M
25	32	57	Mn	-57486.3	1.5	M
25	33	58	Mn	-55827.6	2.7	M
25	34	59	Mn	-55525.3	2.3	M
25	35	60	Mn	-52967.9	2.3	M
25	36	61	Mn	-51742.1	2.3	M
25	37	62	Mn	-48524.0	7.0	M
25	38	63	Mn	-46887.0	4.0	M
25	39	64	Mn	-42989.0	4.0	M
25	40	65	Mn	-40967.0	4.0	M
25	41	66	Mn	-36750.0	11.0	M
25	42	67	Mn	-33580.0	200.0	E
25	43	68	Mn	-28920.0	300.0	E
