Z	charge	l	mult	delta	spread	term	parent	language	n_lo	n_hi	members	limit	limit_label	limit_status	delta_status	span	cell_exists
72	1	0	3	2.12194	0.14367	g 3P	2P	LS	6	6	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	MISMATCHED core	void — limit is not this parent's core	single-n	yes
72	1	1	5	1.85929	0.33103	y 5P*	b_4P	LS	6	6	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	MISMATCHED core	void — limit is not this parent's core	single-n	no
72	1	0	3	2.06657	0.11827	g 3D	2D	LS	6	6	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	parent-matched	usable	single-n	yes
72	1	2	3	0.67525	1.18446	b 3H		LS	5	5	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	no parent — fallback	usable	single-n	yes
72	1	2	3	0.78558	0.24745	h 3F		LS	5	5	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	no parent — fallback	usable	single-n	yes
72	1	1	5	1.15936	1.94916	w 5D*	b_4P	LS	6	6	5	55047.9	Hf_II_(5d.6s2_2D<3/2>)	MISMATCHED core	void — limit is not this parent's core	single-n	no
72	1	2	3	0.87490	0.41407	c 3G		LS	5	5	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	no parent — fallback	usable	single-n	yes
72	1	0	3	2.82689	0.18050	i 3F	a_2F	LS	7	7	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	MISMATCHED core	void — limit is not this parent's core	single-n	yes
72	1	2	3	0.77291	0.05919	h 3D		LS	5	5	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	no parent — fallback	usable	single-n	yes
72	1	1	3	0.86920	1.42570	s 3D*	b_4F	LS	6	6	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	MISMATCHED core	void — limit is not this parent's core	single-n	yes
72	1	1	3	1.16456	1.96792	t 3F*	b_4F	LS	6	6	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	MISMATCHED core	void — limit is not this parent's core	single-n	yes
80	1	0	1	4.63928	0.22324	1S		LS	6	20	15	84184.15	Hg_II_(6s_2S<1/2>)	no parent — fallback	usable	series	yes
80	1	1	3	4.20528	0.37242	3P*		LS	6	20	43	84184.15	Hg_II_(6s_2S<1/2>)	no parent — fallback	usable	series	yes
80	1	1	1	4.02736	0.22763	1P*		LS	6	20	15	84184.15	Hg_II_(6s_2S<1/2>)	no parent — fallback	usable	series	yes
80	1	0	3	4.70092	0.06196	3S		LS	7	20	14	84184.15	Hg_II_(6s_2S<1/2>)	no parent — fallback	usable	series	yes
80	1	1	2	4.13166	0.53717	2[3/2]*	2D<5/2>	jK	6	20	16	119700.0	Hg_II_(5d9.6s2_2D<5/2>)	parent-matched	usable	series	no
80	1	2	1	3.08048	0.06593	1D		LS	6	20	15	84184.15	Hg_II_(6s_2S<1/2>)	no parent — fallback	usable	series	yes
80	1	2	3	3.05671	0.04541	3D		LS	6	20	45	84184.15	Hg_II_(6s_2S<1/2>)	no parent — fallback	usable	series	yes
80	1	3	3	1.03294	0.08672	3F*		LS	5	21	35	84184.15	Hg_II_(6s_2S<1/2>)	no parent — fallback	usable	series	yes
80	1	3	1	1.03520	0.10234	1F*		LS	5	21	17	84184.15	Hg_II_(6s_2S<1/2>)	no parent — fallback	usable	series	yes
80	1	4	3	0.00379	0.05853	3G		LS	5	11	9	84184.15	Hg_II_(6s_2S<1/2>)	no parent — fallback	usable	series	yes
80	1	4	1	0.00352	0.04858	1G		LS	5	11	7	84184.15	Hg_II_(6s_2S<1/2>)	no parent — fallback	usable	series	yes
80	1	1	2	4.22544	0.51900	2[1/2]*	2D<3/2>	jK	6	20	15	134746.0	Hg_II_(5d9.6s2_2D<3/2>)	parent-matched	usable	series	no
80	1	1	3	3.93442	0.23505	3P		LS	6	6	3	119700.0	Hg_II_(5d9.6s2_2D<5/2>)	no parent — fallback	usable	single-n	yes
80	1	1	2	4.17028	0.21594	2[3/2]*	2D<3/2>	jK	6	13	8	134746.0	Hg_II_(5d9.6s2_2D<3/2>)	parent-matched	usable	series	no
80	1	3	2	1.04341	0.03146	2[3/2]*	2D<5/2>	jK	5	13	9	119700.0	Hg_II_(5d9.6s2_2D<5/2>)	parent-matched	usable	series	no
80	1	3	2	1.03651	0.03121	2[1/2]*	2D<5/2>	jK	5	13	9	119700.0	Hg_II_(5d9.6s2_2D<5/2>)	parent-matched	usable	series	no
80	1	3	2	1.03824	0.22176	2[3/2]*	2D<3/2>	jK	5	13	9	134746.0	Hg_II_(5d9.6s2_2D<3/2>)	parent-matched	usable	series	no
49	1	1	2	3.23261	0.26525	2P*		LS	5	11	14	46670.107	In_II_(5s2_1S<0>)	no parent — fallback	usable	series	yes
49	1	0	2	3.72626	0.07521	2S		LS	6	24	19	46670.107	In_II_(5s2_1S<0>)	no parent — fallback	usable	series	yes
49	1	2	2	2.35880	0.24241	2D		LS	5	30	52	46670.107	In_II_(5s2_1S<0>)	no parent — fallback	usable	series	yes
