sg	system	bravais	pg_order	k	star	little_order	m	nontrivial_multiplier	n_smallreps	dims	max_dim	sticking
62	orthorhombic	oP	8	1/2,1/2,1/2	1	8	2	1	2	2+2	2	1
63	orthorhombic	oS	8	0/1,0/1,0/1	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
63	orthorhombic	oS	8	0/1,0/1,1/2	1	8	2	1	2	2+2	2	1
63	orthorhombic	oS	8	0/1,1/2,0/1	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
63	orthorhombic	oS	8	0/1,1/2,1/2	1	8	2	1	2	2+2	2	1
63	orthorhombic	oS	8	1/2,0/1,1/2	2	4	2	1	1	2	2	1
63	orthorhombic	oS	8	1/2,1/2,0/1	2	4	1	0	4	1+1+1+1	1	0
64	orthorhombic	oS	8	0/1,0/1,0/1	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
64	orthorhombic	oS	8	0/1,0/1,1/2	1	8	2	1	2	2+2	2	1
64	orthorhombic	oS	8	0/1,1/2,0/1	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
64	orthorhombic	oS	8	0/1,1/2,1/2	1	8	2	1	2	2+2	2	1
64	orthorhombic	oS	8	1/2,0/1,1/2	2	4	2	0	4	1+1+1+1	1	0
64	orthorhombic	oS	8	1/2,1/2,0/1	2	4	2	1	1	2	2	1
65	orthorhombic	oS	8	0/1,0/1,0/1	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
65	orthorhombic	oS	8	0/1,0/1,1/2	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
65	orthorhombic	oS	8	0/1,1/2,0/1	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
65	orthorhombic	oS	8	0/1,1/2,1/2	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
65	orthorhombic	oS	8	1/2,0/1,1/2	2	4	1	0	4	1+1+1+1	1	0
65	orthorhombic	oS	8	1/2,1/2,0/1	2	4	1	0	4	1+1+1+1	1	0
66	orthorhombic	oS	8	0/1,0/1,0/1	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
66	orthorhombic	oS	8	0/1,0/1,1/2	1	8	2	1	2	2+2	2	1
66	orthorhombic	oS	8	0/1,1/2,0/1	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
66	orthorhombic	oS	8	0/1,1/2,1/2	1	8	2	1	2	2+2	2	1
66	orthorhombic	oS	8	1/2,0/1,1/2	2	4	1	0	4	1+1+1+1	1	0
66	orthorhombic	oS	8	1/2,1/2,0/1	2	4	1	0	4	1+1+1+1	1	0
67	orthorhombic	oS	8	0/1,0/1,0/1	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
67	orthorhombic	oS	8	0/1,0/1,1/2	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
67	orthorhombic	oS	8	0/1,1/2,0/1	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
67	orthorhombic	oS	8	0/1,1/2,1/2	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
67	orthorhombic	oS	8	1/2,0/1,1/2	2	4	2	1	1	2	2	1
67	orthorhombic	oS	8	1/2,1/2,0/1	2	4	2	1	1	2	2	1
68	orthorhombic	oS	8	0/1,0/1,0/1	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
68	orthorhombic	oS	8	0/1,0/1,1/2	1	8	2	1	2	2+2	2	1
68	orthorhombic	oS	8	0/1,1/2,0/1	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
68	orthorhombic	oS	8	0/1,1/2,1/2	1	8	2	1	2	2+2	2	1
68	orthorhombic	oS	8	1/2,0/1,1/2	2	4	2	1	1	2	2	1
68	orthorhombic	oS	8	1/2,1/2,0/1	2	4	2	1	1	2	2	1
