sg	system	pg_order	little_group	star	factor_order	n_small_reps	max_dim	dims
120	tetragonal	8	4	2	1	4	1	1+1+1+1
120	tetragonal	8	4	2	1	4	1	1+1+1+1
121	tetragonal	8	8	1	1	5	2	2+1+1+1+1
121	tetragonal	8	8	1	1	5	2	2+1+1+1+1
121	tetragonal	8	8	1	1	5	2	2+1+1+1+1
121	tetragonal	8	8	1	1	5	2	2+1+1+1+1
122	tetragonal	8	8	1	1	5	2	2+1+1+1+1
122	tetragonal	8	8	1	2	5	2	2+1+1+1+1
122	tetragonal	8	8	1	4	2	2	2+2
122	tetragonal	8	8	1	4	2	2	2+2
123	tetragonal	16	16	1	1	10	2	2+2+1+1+1+1+1+1+1+1
123	tetragonal	16	16	1	1	10	2	2+2+1+1+1+1+1+1+1+1
123	tetragonal	16	16	1	1	10	2	2+2+1+1+1+1+1+1+1+1
123	tetragonal	16	16	1	1	10	2	2+2+1+1+1+1+1+1+1+1
123	tetragonal	16	8	2	1	8	1	1+1+1+1+1+1+1+1
123	tetragonal	16	8	2	1	8	1	1+1+1+1+1+1+1+1
124	tetragonal	16	16	1	1	10	2	2+2+1+1+1+1+1+1+1+1
124	tetragonal	16	16	1	2	4	2	2+2+2+2
124	tetragonal	16	16	1	1	10	2	2+2+1+1+1+1+1+1+1+1
124	tetragonal	16	16	1	2	4	2	2+2+2+2
124	tetragonal	16	8	2	1	8	1	1+1+1+1+1+1+1+1
124	tetragonal	16	8	2	2	2	2	2+2
125	tetragonal	16	16	1	1	10	2	2+2+1+1+1+1+1+1+1+1
125	tetragonal	16	16	1	1	10	2	2+2+1+1+1+1+1+1+1+1
125	tetragonal	16	16	1	2	4	2	2+2+2+2
125	tetragonal	16	16	1	2	4	2	2+2+2+2
125	tetragonal	16	8	2	2	2	2	2+2
125	tetragonal	16	8	2	2	2	2	2+2
126	tetragonal	16	16	1	1	10	2	2+2+1+1+1+1+1+1+1+1
126	tetragonal	16	16	1	2	4	2	2+2+2+2
126	tetragonal	16	16	1	2	4	2	2+2+2+2
126	tetragonal	16	16	1	2	4	2	2+2+2+2
126	tetragonal	16	8	2	2	2	2	2+2
126	tetragonal	16	8	2	2	2	2	2+2
127	tetragonal	16	16	1	1	10	2	2+2+1+1+1+1+1+1+1+1
127	tetragonal	16	16	1	1	10	2	2+2+1+1+1+1+1+1+1+1
